"Term","Frequency"
"pervasive,",2
"phenomenon,",10
"project,",342
"speed",13
"vari",117
"1760s",3
"1790s,",1
"anti-teleolog",1
"back",106
"clarif",2
"doctrin",26
"ellipt",1
"enough),",1
"kant",40
"method,",13
"objectivist,",1
"over",4
"path",39
"period,",122
"philosophers.",10
"post-kantian",2
"pre-crit",1
"rationalist,",1
"teleolog",7
"terminolog",7
"(fr).",1
"1917",6
"1917,",5
"1917.",4
"bolshevik",3
"contemporary,",12
"contract",115
"describ",151
"edit",586
"english-speak",19
"far",91
"februari",27
"february-march.",1
"first-hand",21
"gripping,",1
"interest",341
"interviewe",1
"know",77
"known",239
"may-jun",2
"month",132
"obvious,",3
"outcom",88
"overthrow",3
"oxford",70
"published,",17
"regim",40
"rethink",35
"revolutionari",63
"rewrit",13
"russia.",9
"russian",99
"significant,",12
"testimoni",21
"textbook",15
"unknown",51
"""book",2
"alchem",4
"alchemy--",1
"alchemy.",1
"arena",16
"audiences,",29
"europ",113
"gender",151
"intertwin",42
"itali",20
"italy,",24
"medic",164
"medicin",71
"polem",12
"practition",33
"presenc",62
"protofemin",2
"protoscience.",1
"readers,",20
"remedi",27
"reveals,",1
"secret",19
"secrets.""",1
"sex",9
"sought",87
"subjects,",23
"thus",166
"""anim",2
"""persons""",1
"""property""",1
"abrupt",3
"ages.",19
"anim",69
"begin",353
"court",120
"ecclesiast",14
"explores,",2
"fifteenth",16
"france,",48
"jurid",3
"later",114
"literature,",277
"middl",286
"personhood.",4
"prosecut",4
"revers",10
"rights,""",2
"secular",58
"shadow",19
"studies.""",2
"tell",253
"theology,",14
"touchston",17
"trial",54
"trials,",3
"well-public",1
"-examin",4
"art.",112
"artists,",72
"border.",6
"case",278
"closer",11
"cross",53
"decis",66
"dimens",74
"foreshadow",5
"guston",1
"guston,",1
"impetus.",2
"instances,",2
"isamu",2
"jackson",34
"latter",23
"likewis",5
"little-known",33
"matur",11
"mid-20th",17
"motherwell,",2
"mural",36
"muralist",4
"noguchi",3
"nourish",5
"orozco",1
"philip",23
"pollock,",2
"production.",35
"robert",92
"siqueiro",1
"spark",23
"synthes",27
"technic",126
"tenet",7
"themat",58
"tight",6
"unlik",41
"york,",47
"1940s,",9
"1960.",2
"1991",5
"allevi",11
"another.",32
"anthropologist",33
"believed.",1
"breach",2
"childbirth",2
"cold",138
"crosscurr",1
"curtain",6
"dark",10
"decad",139
"deeper",73
"education,",116
"find",192
"iron",27
"lamaze:",1
"medicine,",41
"mid-1950",1
"model",345
"pain",19
"porous",2
"ppm,",1
"prepar",347
"psycholog",66
"psychoprophylaxis,",1
"rest",38
"revisit",20
"soviet",99
"specialist",101
"specialists,",24
"surpris",71
"took",75
"training.",22
"work.",78
"1960s",61
"conflat",3
"contradict",16
"expression.",13
"facet",25
"intric",8
"moment",134
"monolith",5
"movements.",20
"name?",1
"often",275
"politics,",98
"precis",32
"present-day",23
"radic",92
"rhetoric,",6
"rock",43
"rock,",79
"sixties,""",1
"tandem",14
"ways,",19
"18th",70
"18th-centuri",18
"affirming,",1
"claim",92
"commentari",73
"compon",123
"delight",3
"display",155
"duti",18
"earlier",50
"enchant",7
"enlighten",60
"escapist",1
"fantasy,",3
"fertil",8
"fete",1
"fiction",93
"ground",142
"illusion,",1
"image,",12
"inher",39
"interrog",20
"isl",5
"island",116
"island,",25
"king",133
"narrative,",27
"now",270
"performance,",27
"pleasure,",5
"pole",6
"possess",33
"real",44
"representing,",1
"rococo",2
"royal",39
"seen",74
"subvert",7
"tension",60
"text,",50
"thought.",31
"truth",23
"1945",14
"1945,",5
"beauty.",6
"cityscap",4
"clue",6
"counter",13
"destruction,",5
"dresden",4
"dresden.",1
"encod",40
"etch",5
"generations.",31
"german",120
"just",126
"memory.",29
"mental",48
"narratives.",20
"paintings,",47
"photograph",340
"postcards.",1
"present.",91
"propagandist",1
"rebuild",8
"rhetoric.",5
"suffer",52
"symbol",58
"tourism",27
"visual",523
"went",25
"20th",218
"core,",8
"corpor",26
"destini",9
"destiny.",2
"discuss",908
"lens,",10
"lie",41
"mainstream",29
"movement",319
"number",204
"race.",12
"religion",143
"reson",55
"(free",2
"17th-centuri",24
"abandonment,",1
"accus",12
"adultery,",2
"alleg",9
"annul",1
"assert",30
"boundari",69
"brought",101
"complaint",2
"concubinag",5
"conjug",4
"corrupt",8
"couples.",1
"destitution,",1
"effect",202
"emphasi",97
"enforc",15
"enlist",21
"finally,",71
"fraction",3
"infidel",1
"inter-ethn",4
"lima",4
"litig",5
"manumission,",1
"master",98
"mix",54
"ownership,",4
"petitions,",2
"polic",26
"prevail",14
"proceed",28
"proceedings.",3
"procur",8
"relationships.",9
"rights,",52
"transfer",55
"unfree)",1
"violence,",26
"virginity.",1
"women.",52
"""look""",1
"11th-centuri",2
"architecture,",63
"attir",2
"author",273
"church.",15
"clear",59
"clergi",7
"cleric",21
"code",31
"contrast",54
"demarc",2
"don",8
"dress",15
"frescoes,",1
"gown",2
"illuminations),",1
"laity,",3
"legislation,",5
"liturg",10
"manuscript",401
"mosaics,",2
"ornat",2
"plain",31
"priest",11
"renunci",1
"rome",44
"sanctuari",9
"sharp",3
"strict",7
"surviv",98
"textiles,",33
"tracts,",3
"vestment",1
"violence.",16
"wore",1
"(1235-53),",1
"(4)",31
"13th-centuri",8
"abuses,",1
"aggress",7
"bishop",13
"categori",55
"copies.",5
"editors;",1
"episcopate,",1
"exampl",102
"fresh",54
"genr",89
"genres,",26
"grossetest",1
"grosseteste,",1
"guidelin",34
"holist",21
"homilist",1
"hundr",146
"ignor",32
"incognita.",1
"intellect",3
"large,",22
"latin--",1
"life;",6
"mediev",241
"medievalist",2
"outstand",35
"pastor",12
"preacher",11
"renown.",1
"rich,",10
"sampl",28
"secur",147
"sermons,",10
"sermons.",2
"sermons;",1
"terra",1
"writings,",46
"writings--",1
"""american",21
"(mani",3
"(project",3
"750",7
"americans,",56
"anti-communists--tak",1
"atrophied,",1
"communist",29
"conclud",58
"contend",24
"convict",11
"depress",20
"disclosur",2
"espionage?",1
"fascism,",5
"fashion",39
"fate",15
"forms?",1
"gravit",4
"ii.",42
"jews,",11
"left",71
"left,",1
"leftist,",1
"length,",8
"monument",56
"night""",1
"pages)",4
"persist,",1
"point.",4
"post-world",14
"press.",46
"renewed?",1
"repression,",3
"sensibl",12
"shape?",1
"spectacular.",1
"ten-year",4
"trilog",6
"tropism",1
"true)",1
"unc",7
"ussr",5
"vol.",6
"writers--",1
"(greece).",1
"agora,",1
"also,",14
"athena",2
"athenian",7
"b.c.e.",3
"distant",18
"doric",5
"entail",24
"exposur",29
"factors,",8
"fifth-centuri",2
"forefront",22
"generally,",9
"instead",49
"ionic",1
"location.",9
"orders.",3
"point",166
"re-erect",2
"sounion",1
"statement,",1
"templ",25
"appropriate.",2
"belief",72
"belief,",8
"causat",5
"causation,",3
"causation.",1
"consciousness,",3
"consider,",1
"experiment",62
"fellowship,",15
"format",216
"guid",210
"however,",146
"intervent",27
"intervention',",1
"interventionist",3
"lay",75
"mind:",5
"obvious",9
"particular.",6
"perception,",9
"perceptu",9
"perhap",32
"phenomena",18
"phenomena.",4
"say",19
"thinking.",12
"20th-centuri",36
"alexandra",3
"biography,",43
"broadly,",20
"cartography.",3
"compuls",3
"compulsively.",1
"convent",64
"crystal",9
"david-neel.",1
"diagnosi",6
"drove",5
"epidem",16
"evolv",79
"femal",86
"female-mark",1
"forc",121
"force.",5
"fugu",2
"fugue,",1
"fugueur",1
"geographi",34
"hysteria.",1
"irresist",1
"maladi",2
"male",24
"masculin",22
"medical-cultur",2
"oppos",25
"pathological,",1
"phenomenon",28
"proport",6
"scene",30
"space,",56
"stake",21
"symptom",4
"terrain",11
"tourism,",7
"transportation,",8
"traveler,",2
"writing,",74
"wrote",47
"2010-11,",2
"2011-12",3
"agn",6
"appeal",72
"career",148
"cinemat",24
"contract.",5
"critics,",17
"dvd.",2
"feminism,",6
"film,",104
"filmmak",38
"filmmakers,",9
"films,",50
"innovative,",8
"material,",48
"movement,",67
"practice.",28
"prospectus",2
"releas",38
"review",135
"submit",56
"theorist",28
"translations,",11
"unpublish",65
"varda",1
"varda,",1
"varda.",1
"wave",23
"year.",56
"(1868-1934)",1
"(1875-1935),",1
"(1875?-1907),",1
"anti-manchu",1
"articul",69
"audacious,",1
"behead",1
"brave",9
"burial.",1
"changes.",18
"china,",33
"concret",30
"creative,",7
"experienc",113
"extens",257
"extraordinarili",6
"friendship",12
"genealogies,",1
"jin",1
"literati",4
"lives,",31
"martyr",5
"monuments,",14
"persecut",8
"poetry.",20
"proper",175
"qing",6
"qiu",4
"respond",106
"sisters""",1
"sources,",96
"sworn",2
"tradition.",34
"tumultu",22
"uprisings,",1
"vibrant",55
"zhiy",1
"zihua",1
"""cross",3
"""state-building""",1
"1860s",5
"allegi",6
"arrest",10
"attack",11
"borders""",1
"canada",10
"citizens,",14
"despit",96
"emphas",117
"exit""",1
"expatri",7
"expatriation,",1
"fenian",2
"fenians,",1
"foment",2
"homes.",3
"ireland",16
"irish",32
"law",196
"pledg",2
"prompt",28
"provok",12
"reasons.",10
"rebellion",5
"right",468
"rule.",16
"sovereign.",1
"subjects.",13
"treason",6
"tri",36
"unsuccess",3
"uproar",1
"win",20
"yet,",36
"(1905-1964),",1
"adventur",19
"biography.",10
"blitzstein",1
"chapters.",9
"composer-librettist,",1
"culture;",23
"done",61
"far,",5
"fit",41
"houston.",4
"intrigu",15
"low",16
"madison,",3
"marc",11
"meanings.",2
"neh.",14
"notabl",32
"opera.",1
"probe",36
"public;",4
"reviv",24
"thirteen",5
"trip",77
"twenty-two",5
"two.",9
"washington,",86
"africans)",1
"appearance.",1
"assimilationist",1
"built",171
"catholic,",2
"clothing,",15
"colon",27
"definit",66
"elabor",25
"ethnicity,",14
"formulation,",1
"frame",113
"france:",2
"french.",11
"frenchifi",1
"frenchification.",1
"hing",7
"louisiana",40
"malleabl",4
"mediat",28
"name",84
"never",104
"privileg",31
"proto-biolog",1
"proto-raci",2
"sartori",2
"terms,",12
"thus,",29
"administr",93
"chosen",33
"culturally,",6
"decades.",14
"deceas",2
"deni",17
"detail",199
"die",21
"diocese.",1
"economic,",68
"economically,",2
"eighteenth",66
"elit",62
"elite.",2
"entry.",1
"episcop",9
"kill",27
"merida,",1
"must",89
"parents.",2
"past.",57
"piraci",2
"provinc",19
"quickly;",1
"replac",109
"replaced,",1
"reproduc",16
"secondari",116
"socially,",1
"spain",33
"unstabl",15
"wait",4
"yucatan,",2
"""dirti",1
"-call",20
"1970s,",30
"1983,",2
"abus",9
"adopt",87
"arbitrari",3
"argentina",21
"argentina,",14
"businessmen,",3
"causes,",6
"character,",6
"citizens.",17
"consequences.",4
"consequenti",1
"count",13
"crimes.",5
"death,",16
"disappearance,",1
"fell",3
"guerrilla",5
"leaders,",27
"notori",14
"novel",167
"occur",70
"officers.",3
"organiz",19
"perpetr",6
"politicians,",8
"response,",10
"ruthless",3
"tactic",6
"ten",102
"terror",22
"thousand",144
"torture,",2
"unlaw",3
"victims,",3
"violent",21
"war""",5
"""dual",1
"""republic""",1
"""republica",1
"16th",25
"17th",32
"adaptations,",2
"agenc",53
"alreadi",119
"analog",26
"archaeolog",318
"comun""",1
"creol",15
"escap",18
"ethnicities,",6
"impractic",1
"indios.",1
"investigations.",1
"kingdom",21
"laid",14
"maroon",4
"monarchi",8
"obvious.",3
"republic""",1
"spaniard",12
"spanish",192
"town",128
"towns.",8
"twenti",39
"unrecogn",7
"vestig",3
"wild.",1
"173",1
"1870,",2
"2011",86
"2012.",43
"23,",6
"accommodation,",3
"ancestri",4
"baker",4
"book,",143
"clark",20
"finish",35
"frontier",26
"fur",5
"gave",36
"grandchildren",3
"harden",1
"harsh",8
"heritage)",1
"inclus",58
"intermarriag",1
"januari",80
"malcolm",3
"marias)",1
"massacr",7
"montana",39
"montana,",3
"norton",4
"one.",19
"piegan",1
"singl",108
"slate",14
"slaughtered.",1
"trader",9
"typifi",2
"w.w.",3
"west",222
"white",151
"years,",134
"1950s-2007,",1
"age.",27
"authorship",15
"capitalist",11
"cinema,",14
"cinema.",7
"commerci",88
"conflict",167
"desir",44
"eight",69
"femin",13
"feminisms,",2
"feminisms.",1
"films.",16
"introduct",87
"mainland",10
"post-socialist",2
"re-vis",1
"realism.",3
"third",110
"usher",9
"(1668-1744)",1
"absolut",6
"absolute.",1
"assent",1
"assum",25
"constants;",1
"contract,",5
"development,",66
"exclusive;",1
"giambattista",1
"inequ",27
"mutual",25
"parties;",2
"plausibl",7
"ration",30
"speech,",18
"trans-cultural,",1
"trans-histor",4
"vico",4
"analysi",333
"archive.",42
"bearden",4
"biograph",47
"bit",2
"books,",123
"compel",68
"crow",41
"defi",10
"dixie.",1
"face",152
"family,",34
"father.",1
"generat",297
"get",31
"great-grandfather,",1
"historical.",3
"homeland",24
"imagination,""",1
"jim",43
"middle-class",10
"notic",9
"pure",15
"romar",2
"saga",6
"short",101
"supremacy.",2
"sweep",16
"wilson",24
"woodrow",2
"avert",1
"censor",2
"censorship",11
"censorship,",4
"coincid",15
"crisis.",12
"ethnograph",103
"fist,",1
"globalization.",12
"management,",25
"much-malign",1
"offici",125
"prohibit",22
"prolifer",17
"provoc",12
"reconsider",4
"sentiment.",3
"sexual",50
"1730",2
"18th.",1
"autobiographi",16
"avoid",21
"benvenuto",1
"books.",27
"cellini",3
"clandestin",3
"craftsman-hero",1
"embrac",51
"exemplar",12
"freemason",1
"french,",22
"german.",3
"goeth",2
"italian",94
"meant",32
"merit",10
"offens",6
"outright",11
"print,",18
"privilege.",2
"published.",16
"readers.",22
"recept",63
"reception,",8
"scarc",1
"shed",91
"soon",15
"strive",20
"written,",15
"9th",5
"applic",242
"codic",3
"denkard",1
"gathas.",1
"germany,",19
"india.",19
"iran",17
"nask",2
"sudgar",2
"zarathustra",1
"zoroastrian",2
"abroad.",16
"algiers,",1
"allianc",54
"attitud",51
"awar",87
"colonized.",2
"dakar,",2
"distinctions,",2
"embodi",71
"empire.",50
"empow",32
"gardens,",14
"hanoi,",1
"indigen",251
"inhibit",4
"instruments,",12
"missions,",4
"music,",142
"nation.",74
"people.",47
"perform",383
"performed--contribut",1
"preoccup",12
"processes.",8
"realiti",57
"repertoir",14
"republican",33
"saigon--",1
"theater",104
"tunis,",1
"unity,",5
"westerners,",1
"(e.g.,",41
"19th-c.",1
"9/2010",1
"9/2011",1
"ascrib",6
"backward",11
"blatant",1
"chekhov)",1
"comparisons,",2
"consequ",73
"counterfactu",2
"denot",4
"dostoevsky,",5
"elsewhere:",1
"geograph",152
"gogol",1
"gogol,",1
"gorki",1
"hell",2
"khvoshchinskaia,",1
"label",24
"lack",101
"meaninglessness)",1
"melnikov).",1
"moscow",3
"ms.,",1
"novel,",17
"petersburg",5
"philistin",2
"provinces""",1
"provinci",15
"reduct",6
"regionalism.",1
"russia",26
"territori",61
"trope,",1
"""impact,""",1
"""war",2
"(9-4th",1
"(oxford",1
"1st",14
"2011)",4
"act",106
"archeological,",1
"bce",20
"catalyst",16
"cent.).",1
"data,",72
"discern",9
"due",113
"emerged.",6
"exert",9
"extern",45
"felt",11
"findings,",11
"forth",14
"iconograph",7
"imman",1
"israel",15
"israelit",3
"loos",10
"mill.",1
"pervad",8
"society""",3
"sphere",26
"al-asrar",1
"arab-islam",2
"copyright",14
"craft",73
"creativity.",5
"cultures,",55
"depict",84
"elia",2
"feed",7
"futil",1
"gabriel",4
"garcia",4
"gather",104
"introduction,",8
"khoury.",1
"lebanes",4
"love",47
"majma`",1
"marquez,",1
"midst",7
"need",686
"permission,",2
"readership.",6
"secrets""",1
"secrets,",2
"strain",9
"suppos",19
"triangle,",1
"truths,",2
"ultim",94
"uncov",84
"300th",3
"anniversari",68
"contexts.",40
"disciplinari",33
"explos",17
"half-centuri",5
"lacuna,",2
"lament",5
"liberty.",10
"rectifi",6
"still",161
"thought",154
"undertak",93
"well.",19
"whole,",11
"william",162
"(generic,",1
"action",117
"barrier",33
"believing,",1
"block",21
"convers",182
"desiring,",1
"first,",64
"formal)",1
"hermeneut",5
"intending.",1
"lyric",17
"mind,",8
"ordinari",33
"perceiving,",1
"poetic",55
"propositions:",1
"publication.",32
"recast",18
"remembering,",2
"rhetorical,",2
"second,",57
"sophist",44
"strong",84
"substant",23
"unfamiliar",12
"value--allow",1
"""appalachian",1
"""dark",1
"""night",1
"""theatr",2
"(1938)",1
"(1944),",1
"(1946)",1
"(1947)",1
"(1953-55).",1
"antifascist",1
"artistically,",2
"biographically,",1
"choreograph",6
"congress,",15
"dancer",8
"document""",1
"graham",11
"graham.",1
"journey""",1
"letters,",83
"libretto",3
"martha",11
"meadow""",1
"myth",33
"notes,",17
"output",24
"psycho-dramat",1
"psychologically.",1
"spring""",1
"undertaken",31
"voyage""",1
"(iwy)",1
"compromis",19
"confer",165
"endur",120
"feder",98
"front",33
"galvan",6
"inhabit.",1
"partisan,",1
"polar",21
"political--reduc",1
"powerful,",8
"profound",101
"thorough",30
"yet--",1
"actors.",3
"argument:",1
"artworks.",8
"churches,",12
"cloths,",1
"confirm",11
"courts,",9
"demand",57
"developed,",12
"efficaci",9
"enact",16
"examples,",5
"flemish",1
"matter",56
"orchestr",5
"overlap",22
"paint",147
"painting,",24
"panel",87
"pictures.",5
"spectacl",8
"stress",23
"tapestri",10
"theatric",46
"turn,",22
"two-part",13
"(wolf",1
"1982)",1
"andean",14
"andes",3
"bank",20
"biodivers",5
"blur",3
"cast",45
"clash",18
"commensuration,",1
"commodities,",3
"countermemory.",1
"cusco,",1
"defens",19
"delin",11
"gene",6
"imbu",7
"landscape,",27
"linkag",10
"lost",88
"memory,",33
"memory:",3
"milieu",11
"network.",4
"ngo,",1
"node",3
"omnipot",1
"park",99
"peru.",6
"peruvian",10
"potato",5
"potatoes,",1
"quechua",7
"reclaim",15
"regard",127
"repatri",10
"return",75
"sites:",5
"stubborn",2
"tend",21
"victim",20
"villains.",2
"will,",18
"alien",7
"anthropolog",90
"anthropology,",44
"approach,",18
"becoming-,",1
"betray",4
"building,",41
"conversely,",4
"criticism,",12
"ethnographic,",4
"formation.",13
"hybrid",31
"influence,",8
"native,",2
"permeat",8
"predica",1
"reservoir",4
"rhetor",79
"savag",2
"surrend",7
"tale",36
"theoret",83
"theory,",43
"transcend",19
"""modern",3
"1920s",29
"1950s",36
"2004",9
"ataturk,",1
"bourguiba,",1
"east.",31
"entitl",83
"examples:",1
"holder",4
"islam",168
"islam:",1
"legisl",22
"maker",23
"modernity.",18
"moham",2
"morocco",5
"muslim",147
"reform,""",2
"reforms,",10
"reforms.",3
"speech",46
"texts:",5
"tunisia",9
"turkey",9
"vi.",1
"""mediascapes""",1
"(appadurai,",1
"1997)",1
"angeles,",14
"appadurai",1
"arjun",1
"class",148
"consumpt",33
"detroit,",10
"diaspor",24
"discourse,",16
"enfranchis",2
"enter",57
"latina/o",6
"madrid.",1
"miami,",7
"migrant",46
"millennium.",4
"multi-phase,",2
"multi-sit",5
"orientation,",3
"portuguese-languag",1
"predomin",30
"relations,",40
"settings:",1
"sites,",51
"spanish-",1
"texts.",50
"transmiss",29
"""cancer""",1
"-research",3
"-theorized.",1
"1970s.",27
"cancer",3
"cancer,",1
"closet",5
"diseas",38
"domain",29
"fieldwork",50
"head",23
"oncologists,",1
"survivor",39
"trauma",21
"""authenticity,""",1
"brazil,",22
"brazil.",14
"convention",1
"creator",12
"emerged,",4
"floresc",6
"graphic",46
"iconographi",9
"interest.",15
"market,",10
"mehinaku",2
"mehinaku,",1
"motives,",2
"new,",47
"objects.",55
"recently,",10
"ritual",67
"self",26
"statements.",2
"term",217
"upper",34
"utilitarian",8
